Id,Text,Query,Label,LabelStr
1542843701994586113,,guns should be regulated,2,NEUTRAL
1534736940410486785,,guns should be regulated,1,FAVOR
1532542816785678348,,guns should be regulated,2,NEUTRAL
1536071502189277188,,guns should be regulated,2,NEUTRAL
1530323440200212485,,guns should be regulated,1,FAVOR
1536304273113358336,,guns should be regulated,1,FAVOR
1540185712271806465,,guns should be regulated,0,AGAINST
1544315535067713536,,guns should be regulated,0,AGAINST
1533443520823906305,,guns should be regulated,1,FAVOR
1529599765104705537,,guns should be regulated,1,FAVOR
1540446815006478336,,guns should be regulated,1,FAVOR
1539726137403887619,,guns should be regulated,0,AGAINST
1530327446733692928,,guns should be regulated,1,FAVOR
1530330582617669633,,guns should be regulated,1,FAVOR
1529249318065950720,,guns should be regulated,1,FAVOR
1536397852464775170,,guns should be regulated,1,FAVOR
1529959387749572609,,guns should be regulated,0,AGAINST
1536633153254735872,,guns should be regulated,1,FAVOR
1530321476825456641,,guns should be regulated,1,FAVOR
1540001402864418827,,guns should be regulated,0,AGAINST
1540539874113032193,,guns should be regulated,0,AGAINST
1534575569781854208,,guns should be regulated,2,NEUTRAL
1536496821131935744,,guns should be regulated,1,FAVOR
1541572464253308930,,guns should be regulated,0,AGAINST
1539948134717079554,,guns should be regulated,1,FAVOR
1534681861829513216,,guns should be regulated,2,NEUTRAL
1529966370951143424,,guns should be regulated,1,FAVOR
1532786742054502402,,guns should be regulated,1,FAVOR
1539629536895188994,,guns should be regulated,1,FAVOR
1529249494105088000,,guns should be regulated,1,FAVOR
1534505993312280578,,guns should be regulated,0,AGAINST
1534437151454007302,,guns should be regulated,1,FAVOR
1539948534736248833,,guns should be regulated,1,FAVOR
1539049065383571456,,guns should be regulated,0,AGAINST
1532948681414017024,,guns should be regulated,0,AGAINST
1530667313531191296,,guns should be regulated,1,FAVOR
1535043419608842249,,guns should be regulated,2,NEUTRAL
1536827582699560960,,guns should be regulated,1,FAVOR
1542311730130329600,,guns should be regulated,2,NEUTRAL
1529597738953891841,,guns should be regulated,1,FAVOR
1543802881350017026,,guns should be regulated,1,FAVOR
1541829308078903297,,guns should be regulated,2,NEUTRAL
1530324315819741185,,guns should be regulated,1,FAVOR
1544174912243470338,,guns should be regulated,1,FAVOR
1529603495803990017,,guns should be regulated,1,FAVOR
1534875411234136064,,guns should be regulated,0,AGAINST
1529607879900151809,,guns should be regulated,1,FAVOR
1534731682032631808,,guns should be regulated,0,AGAINST
1544418955783049216,,guns should be regulated,2,NEUTRAL
1530335563177287680,,guns should be regulated,1,FAVOR
1530659445591744513,,guns should be regulated,1,FAVOR
1536058993696727041,,guns should be regulated,1,FAVOR
1532717563221889024,,guns should be regulated,1,FAVOR
1529603365675704321,,guns should be regulated,2,NEUTRAL
1529250073552556033,,guns should be regulated,1,FAVOR
1535349011674193922,,guns should be regulated,1,FAVOR
1541557241668591618,,guns should be regulated,0,AGAINST
1539995436169183234,,guns should be regulated,1,FAVOR
1529971135433129984,,guns should be regulated,2,NEUTRAL
1532472139307180052,,guns should be regulated,1,FAVOR
1536086373760909312,,guns should be regulated,2,NEUTRAL
1529607471979020289,,guns should be regulated,0,AGAINST
1544365303513112576,,guns should be regulated,1,FAVOR
1541206859788570624,,guns should be regulated,1,FAVOR
1536033402041913351,,guns should be regulated,0,AGAINST
1540754541523521538,,guns should be regulated,1,FAVOR
1539661165571088384,,guns should be regulated,1,FAVOR
1532522432501784579,,guns should be regulated,2,NEUTRAL
1533163995904999424,,guns should be regulated,0,AGAINST
1540974523486334978,,guns should be regulated,1,FAVOR
1539997857364729857,,guns should be regulated,1,FAVOR
1540783790271897602,,guns should be regulated,1,FAVOR
1535796059930349568,,guns should be regulated,2,NEUTRAL
1539781477436620806,,guns should be regulated,0,AGAINST
1534576901691428864,,guns should be regulated,2,NEUTRAL
1542228628225900544,,guns should be regulated,2,NEUTRAL
1529243688408211456,,guns should be regulated,1,FAVOR
1534552919474831364,,guns should be regulated,1,FAVOR
1534558248224686080,,guns should be regulated,1,FAVOR
1529602470187606016,,guns should be regulated,2,NEUTRAL
1534933576256471040,,guns should be regulated,0,AGAINST
1544065709587800065,,guns should be regulated,1,FAVOR
1536038608544616449,,guns should be regulated,1,FAVOR
1529243545584156672,,guns should be regulated,1,FAVOR
1540695907703951360,,guns should be regulated,2,NEUTRAL
1534999849229246484,,guns should be regulated,2,NEUTRAL
1532719289853087744,,guns should be regulated,2,NEUTRAL
1534640653283606528,,guns should be regulated,2,NEUTRAL
1536068061589012480,,guns should be regulated,0,AGAINST
1540537541635543042,,guns should be regulated,2,NEUTRAL
1543860417432358914,,guns should be regulated,2,NEUTRAL
1536867381825478656,,guns should be regulated,1,FAVOR
1533511881414934528,,guns should be regulated,0,AGAINST
1529603657523777539,,guns should be regulated,2,NEUTRAL
1535286307617923075,,guns should be regulated,1,FAVOR
1544307180656275456,,guns should be regulated,2,NEUTRAL
1535386623050977280,,guns should be regulated,0,AGAINST
1541950563826274306,,guns should be regulated,1,FAVOR
1537909785558798342,,guns should be regulated,1,FAVOR
1534515588906864644,,guns should be regulated,1,FAVOR
1540365687738212352,,guns should be regulated,2,NEUTRAL
1533533857986670592,,guns should be regulated,0,AGAINST
1529610457203544070,,guns should be regulated,1,FAVOR
1533497690482425856,,guns should be regulated,1,FAVOR
1540441744663187456,,guns should be regulated,0,AGAINST
1530324777201811456,,guns should be regulated,1,FAVOR
1540414335427571712,,guns should be regulated,1,FAVOR
1542663574161612801,,guns should be regulated,0,AGAINST
1537144852437254147,,guns should be regulated,1,FAVOR
1544365556920459267,,guns should be regulated,2,NEUTRAL
1542536703663013889,,guns should be regulated,2,NEUTRAL
1537321858336538626,,guns should be regulated,1,FAVOR
1529960946726227968,,guns should be regulated,1,FAVOR
1534719091201687552,,guns should be regulated,2,NEUTRAL
1529249698481152001,,guns should be regulated,1,FAVOR
1536166182457208832,,guns should be regulated,2,NEUTRAL
1542971741026127877,,guns should be regulated,1,FAVOR
1532506563830743040,,guns should be regulated,1,FAVOR
1535580007145275392,,guns should be regulated,1,FAVOR
1536159467003228161,,guns should be regulated,2,NEUTRAL
1544094425713987589,,guns should be regulated,0,AGAINST
1540081303051071488,,guns should be regulated,0,AGAINST
1534549120861577224,,guns should be regulated,1,FAVOR
1537020207511871493,,guns should be regulated,0,AGAINST
1532713003501735937,,guns should be regulated,2,NEUTRAL
1535418445524832258,,guns should be regulated,1,FAVOR
1544390625633746957,,guns should be regulated,0,AGAINST
1540354465206632449,,guns should be regulated,2,NEUTRAL
1539217679122411520,,guns should be regulated,2,NEUTRAL
1534382113826426882,,guns should be regulated,0,AGAINST
1534690497511530496,,guns should be regulated,1,FAVOR
1536822390679670784,,guns should be regulated,2,NEUTRAL
